TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Anhui-Jiangsu,2035,Anhui,Jiangsu,3,142.72,0.991132,1,7500.000005874527,7500.000005874527,42340381.330454074
Anhui-Jiangsu,2040,Anhui,Jiangsu,3,142.72,0.991132,1,7500.000022140247,7500.000022140247,42340381.42228031
Anhui-Jiangsu,2045,Anhui,Jiangsu,3,142.72,0.991132,1,39354.01278475533,39354.01278475533,222168520.91799608
Anhui-Jiangsu,2050,Anhui,Jiangsu,3,142.72,0.991132,1,54779.3108948858,54779.3108948858,309250254.7323018
Anhui-Jiangsu,2055,Anhui,Jiangsu,3,142.72,0.991132,1,56775.982651810045,56775.982651810045,320522233.86746216
Anhui-Jiangsu,2060,Anhui,Jiangsu,3,142.72,0.991132,1,63658.99868999175,63658.99868999175,359379503.6717257
Sichuan-Shanghai-FuFeng,2020,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2025,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2030,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2035,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2040,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2045,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2050,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2055,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2060,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Jiangsu-JinSu,2020,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2025,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2030,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2035,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2040,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2045,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2050,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2055,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2060,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Zhejiang-BinJin,2020,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2025,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2030,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2035,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2040,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2045,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2050,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2055,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2060,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
